POS_TAG ID POS NEG LIST_OF_WORDS
n 392 0.0 0.0 सुषिर_वाद्य,सुषिर,शुषिर,शुषिर_वाद्य,ओष्ठ_वाद्य,फूँक_वाद्य,फूँकवाद्य,मुख_वाद्य,श्वास_वाद्य,सौषिर
n 28272 0.0 0.0 खिड़की
n 4672 0.0 0.0 खिड़की
n 5895 0.0 0.0 तार,तंत्री,तंतु,तन्तु,तन्त्री,तंत
n 1649 0.0 0.0 कटघरा,कटहरा,कठघरा
n 26873 0.0 0.0 जंगली,वन्यतापूर्ण
a 190 0.375 0.25 ढीठ,गुस्ताख़,सरचढ़ा,धृष्ट,गुस्ताख
a 6393 0.375 0.0 नवीकृत,नवीनीकृत
a 43 0.0 0.0 धनी
a 2265 0.0 0.125 निर्धन,ग़रीब,गरीब,दरिद्र,दीन,धनहीन,छुद्र,क्षुद्र,कंगाल,असमृद्ध,असंपन्न,धनधान्यहीन,विपन्न,दीनहीन,बेचारा,मुफ़लिस,मुफलिस,आजिज़,आजिज,अकिंचन,अनाढ्य,असम्पन्न,रंक,तंगहाल,अनिभ्य,तंगदस्त,विधन,बपुरा,बापुरा,मिसकिन,मिस्किन,मिसकीन,बेकस
a 1138 0.125 0.25 धनी
a 38 0.0 0.5 साधनहीन,साधनविहीन
a 2489 0.0 0.625 अज्ञात,अनजान,अनजाना,अविदित,अनवगत,अपरिचित,अपरिगत,अनधिगत,अनभिज्ञ,अज्ञ,गुमनाम,अजन,अजान,अजाना,बेख़बर,बेखबर,नावाक़िफ़,अनागत,अप्रपन्न
n 28271 0.0 0.0 कार्यशाला,वर्कशाप,वर्कशॉप
n 18492 0.0 0.0 जेराक्स,छायाप्रति,छाया-प्रति,ज़ेराक्स,जिराक्स,जीराक्स,ज़िराक्स,जेरॉक्स,जिरॉक्स,ज़ेरॉक्स,ज़िरॉक्स,जेराक्स-कॉपी,ज़ेराक्स-कॉपी,जिराक्स-कॉपी,जीराक्स-कॉपी,ज़िराक्स-कॉपी,जेरॉक्स-कॉपी,जिरॉक्स-कॉपी,ज़ेरॉक्स-कॉपी,ज़िरॉक्स-कॉपी
n 5641 0.0 0.0 जुआ,जूआ,जुआठ,जुआठा,युग,जूड़,माची
n 206 0.375 0.0 राशिचक्र,राशि-चक्र,ज्योतिष्चक्र,राशि_मंडल,ज्योतिष-चक्र,राशिचक्र,राशिमण्डल,ज्योतिषचक्र
n 3385 0.0 0.125 व्यक्तित्व
n 1588 0.125 0.375 मानसिक_अवस्था,मनोदशा,मानसिकता,मनःस्थिति,मूड,मनो_अवस्था,मनोवस्था
n 9926 0.0 0.125 रुखाई,रूखापन,रुक्षता,रुक्षत्व,रुखावट,रुखाहट,अनरस
n 3520 0.0 0.0 आलस्य,सुस्ती,आलस,अपाटव
n 2843 0.0 0.375 इच्छाहीनता,अनाकांक्षा,अनिच्छा,अस्पृहा,अकामता,अनभिलाषिता,अनीहा,निस्पृहता
n 724 0.0 0.375 सौहार्द्र
n 8774 0.0 0.75 लापरवाही,असावधानी,सावधानीहीनता,अचेतपना,चित्तविक्षेप,बेपरवाही,अलगरजी,ग़फ़लत,गफलत,अनवधान,अनवधानता,अनाचिती
n 6879 0.0 0.0 पौरुष,पुरुषार्थ
